How's the weather today?,Vad är det för väder idag?
It's cold,det är kallt
beautiful,vackert / fint
hot,jättevarmt
clear,klart
icy,isigt
warm,varmt
windy,blåsigt
cloudy,molnigt
hazy,disigt
muggy,rått
humid,fuktigt
foggy,dimmigt
It's snowing,det snöar
It's raining,det regnar
It's freezing,det är kallt/kyligt
