badminton,badminton
baseball,baseball
basketball,basket
bowling,bowling
boxing,boxning
cycling,cykelsport
golf,golf
hockey,hockey
ice-skating,konståkning
jogging,joggning
rugby,rugby
sailing,segling
skiing,skidsport
soccer,fotboll
surfing,surfing
swimming,simning
table tennis,bordtennis
tennis,tennis
volleyball,volleyboll
wrestling,brottning
gymnastics,gymnastik
chess,schackspel (n)
golf,golf
skating,skridskoåkning
bodybuilding,bodybuilding
yoga,yoga
